57492,79711,47675,59939,47618,64242,52033,54705,91733,42917,58172,55086,40408,63205,59676,46920,66456,46497,94605,37972,54583,70653,76036,73094,46596,10015,17794,3562,5877,5828,4574,25351,12526,10510,15722,5629,5182,13144,7376,7858,8992,5569,4540,6974,7451,5695,16384,12389,6990,9078,11194,28067,10432,15181,18067,15087,8982,13799,17760,10338,9340,13150,10238,16842,12293,9668,11856,12971,16881,5821,15968,10283,13165,17120,5012,9808,22546,8178,7127,10440,10877,9672,10525,9975,6762,8095,14472,9383,18488,6957,8130,6497,10399,6271,5113,8053,11880,10339,13914,7028
60841,41397,64956,85850,68043,51156,83089,40757,72623,53523,50152,67193,40077,70382,61144,70979,58500,48707,90929,63252,65848,59278,49825,49275,56166,14803,10643,3757,7272,9531,13808,13093,17123,22849,24215,8580,7117,20969,6043,9222,4548,2942,3963,7358,5085,5014,15184,21137,5649,7007,7856,12446,15733,29912,13811,14584,8889,7081,14926,9769,5689,15038,5363,14630,13174,14911,14971,6986,21394,11438,14559,5667,9317,15437,10506,10907,14871,11572,21863,11640,14433,14325,9711,13368,8943,7999,16263,10190,17699,10976,22285,12755,10605,14947,10648,11544,12044,14545,16688,12718
53980,43143,67589,55549,55607,60587,51899,53675,57340,55192,58904,61750,37906,48800,48336,62252,56761,58816,51458,63738,47528,53828,85999,36886,48967,7614,6737,2684,8378,8802,7749,7411,13359,9004,19229,5935,8154,11073,4699,8343,3299,2573,3840,9612,4359,4486,9942,12896,4078,12929,9535,9684,14340,39282,12534,14948,9310,6496,13824,9557,11711,13523,5356,10691,8020,20199,14587,10624,20535,13473,10547,7878,11530,6448,5344,14621,18346,13864,15542,13440,20206,15022,12615,19266,12022,12717,20872,13200,14872,14414,23999,18797,13439,17012,15443,14076,12351,20164,16056,12770
36202,34741,68237,50229,46683,43217,46963,36294,44941,45015,33859,37938,28635,31251,42433,48041,37543,50040,35442,52206,48871,45650,54975,32008,51081,7628,12555,2986,7363,5977,6964,4321,11481,3008,31326,8828,4443,9057,4170,4096,3955,6292,2906,8571,5922,1862,20292,11436,4044,7776,6027,6659,15656,13269,7948,15324,8447,5738,13654,4850,7668,11028,4030,6948,7901,15971,12431,13384,7788,14218,13049,8454,15223,6344,8115,17367,14919,18152,15272,12204,18383,17687,14031,24233,8542,10661,18425,14094,14881,16306,21828,16329,20756,13827,18073,16603,15956,19933,11412,15087
28100,29663,39812,49954,32297,31965,34553,26398,32515,34691,25772,24808,22673,28539,26791,37449,31017,29101,29123,36211,31401,29402,33691,29755,29018,12712,13063,2480,25120,12571,11646,2541,3187,3283,22116,4682,4890,12036,9309,4283,8788,14535,1583,19665,9796,2632,23843,6362,5820,5029,4212,4265,7794,8672,5716,6896,5581,4020,7953,3614,3950,5502,2645,3360,4152,8521,6714,7086,4641,5905,7836,3868,5897,3729,4437,13720,8981,13983,9164,8087,10824,15898,10365,17185,5294,8754,13266,7790,8180,9789,12559,11812,17282,8026,13295,19464,7848,14357,6489,10869
23593,23024,29407,34213,31268,28561,24851,20891,39236,26449,24001,21243,20285,20773,22631,33344,27843,23156,24070,28072,25564,23375,27975,38166,38001,3661,31507,10326,29089,11666,16075,5224,7951,10093,8683,10099,5547,11179,11276,7693,8269,17194,2328,7757,9816,3873,10941,8429,14990,18794,3290,3403,4836,5730,4339,4954,4258,3152,5300,2868,2799,3711,2559,2724,3010,4519,4434,3954,3867,3386,4595,3094,3691,3623,3354,6584,4955,7127,4335,3912,5792,8831,5578,7286,3107,4451,5624,4733,4416,4758,5272,5066,7176,4071,5880,9348,4026,5964,3829,4916
21316,24399,24668,26046,23083,24260,23659,18138,28081,20732,22141,19637,17172,18110,19317,27521,21228,20355,23365,21178,27969,20568,24232,26257,30589,8645,14909,7652,21343,19584,19577,12140,14943,12053,14049,20342,11771,14288,7234,7293,12697,9609,3152,12541,6697,12625,11674,22914,10151,16478,3238,3495,3861,4635,3792,4220,3322,2644,4077,2501,2391,2929,2075,2585,2651,3916,3577,3254,3039,2790,3704,2481,3157,2745,2553,4048,3370,3739,2704,2625,3686,4259,3767,4232,2373,2792,3837,3112,2541,2839,3256,3008,3684,2649,3265,4234,2714,3633,2650,3036
25463,22020,19672,22294,20688,18859,16810,15966,21218,22483,15666,18794,14625,16350,15453,19268,16947,17288,18878,22681,24338,15930,23952,17135,18994,10981,14605,7733,17347,6257,7237,6013,10566,18320,25154,4960,6587,8026,12131,3224,4569,7846,5180,6603,9304,18792,9290,31180,8130,18308,3019,3215,3524,4245,3630,3449,2936,2095,3663,2301,2090,3008,1921,2029,2270,3040,2978,3038,2978,2513,2925,2098,2434,2258,2264,2782,2374,2847,2105,2016,2563,2771,2659,2854,1506,2035,2679,2165,1727,1997,2358,1888,2308,1848,2174,2462,2101,2377,1696,2086
26246,25830,17125,27881,23187,15101,15453,21040,20253,23157,16599,29810,15492,17336,14901,15114,19565,18415,13222,16272,31695,13799,16530,14598,16897,29655,20464,2870,12963,12121,4647,7468,13445,8024,26920,5523,26617,9590,15002,2795,8550,27044,5402,8851,8232,30253,7004,25780,4967,17427,2826,3238,3295,4262,3240,3420,2344,2045,3217,2052,2334,2787,2030,1587,2074,2722,2907,2918,2228,2005,3006,2025,2184,1965,1848,2244,2179,2159,1922,1791,2002,1977,1883,2201,1369,1654,2152,1651,1400,1469,1742,1394,1747,1392,1589,1896,1515,1661,1394,1607
20358,26548,26392,33842,29337,15980,25645,21942,24862,33401,13760,18570,21866,13128,15661,21647,23056,25962,13424,20869,36870,21837,24899,14999,23751,12087,24132,8446,7858,22723,11031,15085,18316,36592,25902,13595,24910,26456,19032,5779,14378,29785,5093,10132,22119,25244,6927,11655,7659,13700,3093,3547,4174,5672,3813,2703,2781,2459,3328,2097,1879,2469,2296,2075,1535,2714,2742,3942,1802,2192,4097,2473,2749,1673,2017,2268,2162,2031,2006,1980,1959,1868,2097,2089,1375,1728,2105,1906,1476,1376,1713,1386,2041,1321,1475,2205,1574,2058,1353,1626
